	1_NA_NA_NA_NA_NA_NA_3	2_NA_NA_NA_NA_NA_NA_3	3_NA_NA_NA_NA_NA_NA_2	4_NA_NA_NA_NA_NA_NA_3	5_NA_NA_NA_NA_NA_NA_3	6_NA_NA_NA_NA_NA_NA_3	7_NA_NA_NA_NA_NA_NA_2	8_NA_NA_NA_NA_NA_NA_3	9_NA_NA_NA_NA_NA_NA_3	9_P1_0.33_NA_NA_NA_NA_3	10_NA_NA_NA_NA_NA_NA_2	10_P2_NA_NA_NA_NA_NA_3	10_P3_NA_NA_NA_NA_NA_2	10_P4_NA_NA_NA_NA_NA_2	11_NA_NA_NA_NA_NA_NA_3	11_P1_1.00_NA_NA_NA_NA_3	12_NA_NA_NA_NA_NA_NA_3	12_P5_NA_NA_NA_NA_NA_3	13_NA_NA_NA_NA_NA_NA_3	13_P6_NA_NA_NA_NA_NA_3	14_NA_NA_NA_NA_NA_NA_3	14_P6_NA_NA_NA_NA_NA_3	15_P7_NA_NA_NA_NA_NA_2	15_P8_NA_NA_NA_NA_NA_3	15_NA_NA_NA_NA_NA_NA_3	16_NA_NA_NA_NA_NA_NA_1	16_P9_1.00_NA_NA_NA_NA_1	17_NA_NA_NA_NA_NA_NA_3	17_P5_NA_NA_NA_NA_NA_2	18_NA_NA_NA_NA_NA_NA_3	18_P10_NA_NA_NA_NA_NA_3	19_NA_NA_NA_NA_NA_NA_3	19_P11_1.00_NA_NA_NA_NA_3	20_NA_NA_NA_NA_NA_NA_3	20_P12_1.00_NA_NA_NA_NA_3	21_NA_NA_NA_NA_NA_0.00_5	21_P6_NA_NA_NA_NA_0.33_5	21_P6_NA_NA_NA_NA_2.00_5	22_P13_NA_NA_NA_NA_0.00_5	22_P13_NA_NA_NA_NA_0.67_5	22_P13_NA_NA_NA_NA_2.00_5	23_NA_NA_NA_NA_NA_NA_3	23_NA_NA_NA_G1551_NA_NA_3	23_NA_NA_NA_G1997_NA_NA_3	23_NA_NA_NA_G1551,G1997_NA_NA_3	24_NA_NA_NA_NA_NA_NA_3	24_NA_NA_NA_NA_G529_NA_3	24_NA_NA_NA_NA_G2748_NA_3	24_NA_NA_NA_NA_G1167_NA_3	25_NA_NA_NA_NA_NA_NA_3	25_NA_NA_NA_G1551_NA_NA_3	25_NA_NA_NA_G1997_NA_NA_3	25_NA_NA_NA_G1551,G1997_NA_NA_3
G585	8.9480667	8.3742667	9.8206500	10.2366667	8.8322000	9.4311667	10.0679000	9.0467667	11.1383333	9.9093667	11.7615000	11.4500000	11.7040000	11.1175000	10.7506667	9.8588667	9.1273000	10.5443333	5.4557667	4.9253000	9.1908333	9.9127000	10.7370000	9.4971333	8.8384333	10.3980000	9.6119000	11.6503333	11.8325000	10.6383333	10.1387000	10.5266667	10.3256667	10.5256667	9.9973667	12.1696000	11.8288000	11.3812000	11.7262000	10.6931800	11.6868000	7.5025000	7.7147667	7.6251667	7.6633333	10.0936667	10.1780000	10.1896667	9.9669000	11.3613333	11.8560000	11.2353333	11.5646667
G586	11.3006667	11.4156667	11.0205000	11.4863333	11.7680000	11.1526667	10.8460000	11.1753333	11.4816667	11.4230000	11.2725000	11.4446667	11.8905000	9.2572500	11.8326667	11.3236667	11.2520000	11.1980000	11.3466667	11.3226667	11.6033333	11.3273333	11.4760000	10.0895667	11.3706667	10.7560000	11.7890000	11.0666667	11.4895000	11.4483333	10.0839333	11.3650000	10.2515000	11.6250000	9.8061667	11.8108000	10.3251000	11.1666000	11.4088000	11.4364000	11.5476000	11.3116667	11.7663333	11.0466667	11.7626667	11.2206667	11.1963333	11.5046667	12.0793333	11.5616667	11.7833333	11.0406667	11.1246667
G587	6.9189667	6.9824333	7.4628500	8.6173333	8.5223333	8.3467333	7.6227500	8.7726667	8.1431667	9.1890667	8.4978000	8.2960333	8.3100000	8.2471500	8.4170667	9.2683000	9.4227667	9.1857667	5.2738000	5.3073333	8.3947000	8.2659333	6.7463500	8.0584667	8.1582000	6.8830000	7.3973000	7.5516333	8.6189500	6.9993667	7.2432333	6.8447333	6.9975000	7.0315333	7.4047000	8.2676400	8.1909600	7.1484600	8.7908400	9.8910800	8.3907600	6.1830667	5.8792333	6.0296000	6.0820667	8.5797333	8.6055333	8.6651333	8.6322667	8.1434000	8.2702000	8.3000333	8.1929667
G588	6.4537667	5.7922000	7.9593500	7.8856000	8.4159333	8.3330667	8.2081500	8.3581667	8.0938667	7.6262000	7.6280000	7.1324333	7.4875500	6.9556000	8.6589333	8.4287333	7.4524333	7.4026000	6.3761667	6.2255000	8.9406333	8.4817000	8.5045000	8.0162333	8.8323667	8.4921000	8.5626000	7.4584333	7.1196000	8.6140333	8.3261000	8.5171000	8.8182667	8.3445667	8.1780333	8.0213800	7.8455200	7.5657600	7.7604600	7.9610400	7.9654200	5.4155000	5.7009333	5.5697000	5.5622333	7.9810000	7.9205000	7.9223333	8.1758333	6.4790667	6.3306667	6.5084667	6.2636333
G589	9.2008000	9.3818667	10.4630000	9.9689667	10.4083333	10.3070000	10.4140000	10.2297667	10.3900000	10.4696667	9.6939500	9.5104667	9.3555500	9.5894000	10.4153333	10.7970000	9.5696667	9.5831000	5.8388000	5.8990667	8.8181667	7.7335333	10.5045000	10.4100000	11.0460000	10.5710000	10.5480000	9.1714000	9.0728000	10.7806667	10.7793333	10.9540000	11.0870000	10.8243333	9.2956667	11.0936000	11.2214000	11.1626000	10.9712000	11.0448000	10.7312000	9.2744667	9.2210333	9.1680000	9.1841667	9.9733333	9.9224000	9.9589333	10.1236000	9.7433000	9.8880333	9.7182333	9.7988333
G590	4.3589333	5.9627667	4.1957000	4.7586333	4.3495333	4.4859667	4.3788500	4.4145667	4.4080333	4.9136333	4.6751500	5.0385000	4.0149000	5.1226500	5.8702333	5.6320333	3.8158333	3.3670667	3.6349333	4.0055333	3.9984333	8.6936000	4.9279500	5.0729000	5.0534333	4.7074000	5.3253000	4.2687667	3.6787500	4.7718333	4.8289333	4.8431333	4.8609333	4.9059333	3.4533000	3.6932000	3.7120600	3.7812800	3.8972800	3.8899800	3.8891200	3.6801333	3.8587667	3.8405667	3.9774333	4.6428667	4.6785000	4.5448000	4.5063000	4.2499667	4.3127667	4.5561667	3.9366667
G591	8.5132333	6.8708000	8.5097500	7.9333667	8.4708000	8.2801000	8.7770500	8.2335000	8.2669667	7.4651667	8.7007000	8.8410333	9.2396000	8.9772000	7.1551333	7.4547000	8.2781000	7.8938667	2.4734000	3.7517000	6.0794667	5.0457667	7.3604000	7.4558000	7.7216333	7.8755000	7.9409000	9.0809667	9.1479500	7.8375000	7.7129333	8.1180000	7.7526000	7.4424000	7.2761000	8.4102000	8.4150600	8.7088200	7.9383000	7.5908600	7.9544400	8.5530333	8.7873000	8.4521000	8.7359000	7.9239000	7.8826333	7.9014333	8.1463000	7.9651333	8.2618667	8.1715333	7.8875333
G592	4.8753667	6.2416333	4.5302500	5.1309667	5.0114333	4.9500333	4.6380500	5.0851333	4.5856333	5.2240000	7.4230500	6.7220333	6.6046000	6.6136000	6.0580667	5.7818333	6.6094000	7.1376667	4.4791000	5.4453000	8.1002333	9.6290000	5.3269500	5.4910667	5.4531333	5.2241000	5.6569000	7.8999667	8.2075500	5.3000667	5.3748000	5.2798000	5.2707000	5.2393667	3.6744000	9.1692000	9.2642800	9.8326600	9.1734400	8.6373200	9.0832000	4.2413667	4.3083000	4.3862667	4.4569667	5.2873667	5.3003667	5.2111333	5.2377667	4.7413333	4.5423667	4.6824000	4.3719667
G593	3.4030333	3.4710000	3.1590500	3.3074000	3.1367667	3.2186000	3.1778500	3.2451333	3.3490667	3.7063333	3.3112000	3.1384667	2.8367000	3.5210500	4.3731000	4.4683667	2.6091667	2.4098333	4.3792333	5.6036667	2.9299333	5.9642333	3.4222000	3.5718000	3.5100333	3.2317000	3.4295000	2.8433000	2.6139000	3.3252000	3.3605000	3.2381333	3.1985000	3.2730333	2.4753667	2.9217200	2.7802800	2.7840600	2.9814200	3.0003400	2.9645600	2.8655333	2.8081000	2.8559000	2.9395667	3.4490000	3.2334667	3.3324333	3.4544000	3.0131667	3.2306000	3.1076333	3.2128333
G594	9.6591667	10.3466667	9.4218500	10.4990000	10.0454667	9.9031000	9.4406500	10.1780667	10.7030000	11.0766667	11.8140000	11.1066667	11.6160000	11.8690000	10.3646667	9.4928667	8.4098000	8.8077000	6.8484000	6.4226667	9.4835667	8.2076333	9.1590500	8.7188667	8.5025000	10.6210000	9.1193000	11.2680000	10.9690000	10.2519000	10.0541333	10.4993333	10.2736667	10.5520000	10.3850000	10.9530000	10.8096000	10.3173800	10.8920000	9.1954000	9.9349800	7.7959000	7.9194000	7.9631000	7.8191333	10.5786667	10.4976667	10.5083333	10.2770000	9.9171667	9.6975333	9.8878000	9.9009333
G595	3.6772667	4.0291000	3.4984000	3.7726333	3.4514000	3.5767333	3.7344000	3.4777333	3.7375000	3.3522000	6.1776500	6.2310000	5.3655500	4.1847000	4.7632333	4.4321667	5.9023333	6.5098000	6.5869333	5.6974000	5.3740333	6.3141333	3.7493000	3.9627667	3.7680667	3.5966000	3.7586000	6.6739667	7.0837000	3.6067000	3.6017000	3.5984333	3.5673667	3.6460667	2.7249000	8.3271800	8.3732800	9.0347800	8.1964600	7.8982400	8.4301200	2.9002000	2.9984000	2.9671333	3.0922000	3.7320667	3.8229000	3.6962667	3.6583667	3.4548667	3.2054667	3.2693333	3.3573333
G596	3.2820333	4.1316667	3.3826000	3.7331000	3.4353333	3.2228333	3.3530000	3.4086000	3.7771667	3.5895000	3.0277500	3.3484667	2.9744500	3.4423500	4.4020667	4.3849333	2.6511000	2.5288667	3.6936333	3.1556667	3.1318667	5.9062000	4.0241000	4.0359667	3.9979667	3.8307000	3.9783000	3.1858667	2.7379000	3.9621000	4.0573000	4.0024333	3.9155000	3.9175333	2.9701667	2.8236200	2.8443000	2.7650600	3.0162800	2.9128400	3.0046400	3.1200000	2.8862333	3.1106667	2.9949667	3.4182667	3.5524333	3.5093667	3.5245000	3.6006333	3.0553000	3.3992667	3.2297333
G597	3.2607333	3.2726333	3.4500000	3.3004667	3.3064000	3.2854667	3.0893000	3.3347000	3.7755333	3.7773667	2.7226000	3.0864333	2.4118000	2.5409000	3.5030667	3.0117000	3.5592333	3.4985333	4.7392000	5.9748000	3.0099000	4.2694667	2.2966000	2.2559000	2.2143000	1.9973000	2.4286000	3.6667000	3.6366500	1.9973667	2.2459667	2.0821333	2.0823333	2.1898000	1.7187667	3.1055600	2.9848400	3.1583800	3.1162800	3.1640200	3.1414400	4.1994333	4.2316000	3.9382333	4.2420667	3.3737667	3.2810667	3.3023000	3.4634333	3.5603333	3.8937000	3.5243000	3.9486333
G598	9.1852333	6.5930667	7.3534500	6.5705000	6.2744000	6.4335333	7.7786500	6.3845667	6.2680000	6.3881000	7.3918500	7.5491000	7.1380500	6.8504500	6.0800333	6.0164000	7.3795000	7.2820000	5.3397000	5.4818000	4.0037333	6.8572000	5.1014500	5.0563000	4.7279000	4.8000000	4.8768000	6.9065000	7.9299000	4.8971000	4.8302667	4.8341667	4.8149667	4.5490667	5.7091667	6.8285800	6.8229600	7.0970200	6.8802400	6.9200600	7.0913000	10.1171333	10.1370000	10.1463333	10.1820000	6.5232000	6.6662667	6.7336667	6.6734000	9.3021333	9.1151667	8.9352333	9.3253000
G599	8.7129000	7.7017333	8.6506500	7.9461667	8.2963667	7.9877333	8.8903000	8.0693000	8.0607000	7.6527333	8.4088500	8.4205667	8.6673000	8.9295500	8.2204333	8.2308000	8.0827667	8.0065000	5.7821667	3.3580333	8.7550333	6.8103000	7.7684500	7.7961667	7.9500333	8.2985000	8.1593000	9.0638000	8.9002500	8.0636333	8.0301667	8.1511333	8.1529000	8.2994333	7.8041000	8.4790200	8.5491400	8.6401800	8.1648000	7.9079600	7.9365800	7.0142333	7.4946333	7.3184667	7.3131000	7.9919000	8.0120667	7.9669333	8.0707667	7.2607000	7.2905000	7.3542667	7.1919000
G600	5.7718333	6.3252667	7.8343000	7.4260000	7.4336000	7.6166000	8.3944000	7.4614000	7.1786667	6.4133000	6.4563000	6.3776333	6.6030000	5.5702000	8.2202000	7.9178333	7.5800333	7.2178667	6.5708000	5.1659000	7.4577667	7.2002000	7.7451000	8.2798333	8.8105000	7.9462000	9.1647000	7.2197000	7.0036000	7.9496667	7.9531333	7.9684000	8.1093000	7.9785667	10.1965667	7.4599000	7.5617800	7.7335800	7.1494800	8.9214000	7.7924600	6.0874333	6.3039333	6.3374667	6.4124333	7.4642000	7.3653333	7.4657000	7.5367667	6.3290333	6.2760667	6.4081000	6.3251333
G601	10.3493333	9.1270333	11.0125000	10.8196667	10.7710000	10.6050000	10.9505000	10.8856667	10.2356667	9.4846333	10.4065000	10.2452000	10.5610000	9.8759500	9.9917333	9.2027000	10.6450000	10.6406667	6.1421000	4.4172333	9.0283667	6.7683667	10.1740000	10.2113333	10.1110000	10.3460000	10.1680000	10.4986667	10.6040000	10.3866667	10.4863333	10.5146667	10.6993333	10.3310000	10.1966333	10.4810000	10.4400000	10.3840000	10.2116000	10.2015400	10.0974400	9.3668000	9.3955000	9.4425333	9.4951667	10.7370000	10.8713333	10.9356667	10.9056667	10.2216667	10.3596667	10.0443333	10.2143333
G602	5.5641333	6.9190000	5.4473500	6.1163667	5.7773333	5.6617000	5.3425500	5.7959667	5.6602667	5.5538333	5.9926000	5.9602000	5.2797500	7.2004000	6.5114333	6.2631333	5.2582333	4.6307333	4.6289667	5.5281333	4.3966667	8.5956667	6.1202000	6.3107333	6.3331333	6.1065000	6.5373000	5.6707000	5.2167000	6.1763333	6.1093000	6.1739000	6.2198667	6.2825667	4.3456333	4.9071800	5.0576400	4.9872200	5.2126200	5.1429000	5.1876800	5.8903000	5.6814667	6.1632333	6.0814333	6.1153667	6.1013667	5.9493000	5.9187333	6.2745333	6.0765000	6.3187667	5.9153000
G603	7.3312667	5.8811667	8.1814000	8.5025333	8.7490000	8.8138000	8.3068000	8.8894000	8.7886000	7.3415333	8.1027000	8.2519667	8.2528500	7.4875000	8.2538667	7.2625333	7.8903333	7.9634333	5.8216667	6.0039000	6.6934667	5.8555333	8.3447000	8.1254333	7.7979000	8.2352000	7.8585000	7.7692000	7.6188000	8.2165667	8.2062667	8.1397667	8.0709333	8.3378000	7.8848333	8.4308600	8.3695600	8.5377000	8.4606200	8.3043800	8.8502000	7.0189333	6.9375667	6.7282667	6.8523000	8.5012000	8.6107667	8.6115000	8.7242333	8.6108000	8.6135333	8.4265333	8.7617000
G604	9.6574333	9.2650333	9.5023000	8.5741667	8.7728333	8.7998333	9.2048500	8.6960000	8.8948000	8.3443333	7.8417000	8.4095667	7.7858500	7.4424000	9.6875667	9.7273333	9.8560000	9.7456667	6.7136000	4.9181333	8.2132667	8.1588667	9.6407000	10.4223333	11.0763333	10.4640000	10.7660000	9.0755000	9.0802500	10.3322667	10.5406333	10.7196667	10.9306667	10.6813333	8.8577000	8.6381600	8.8588200	9.4921400	8.4957200	9.8350000	9.8987200	11.4730000	11.5630000	11.4623333	11.4383333	8.6239333	8.6452000	8.5675000	8.7136333	9.2023667	9.2110000	9.0466333	9.1005333
G605	3.5723667	4.6151000	3.4482500	3.8365333	3.4695333	3.6419333	3.1922000	3.5795000	3.8608333	4.4245000	4.2780000	3.2526667	3.2087000	4.0456500	5.3882667	5.0594333	2.9711000	2.7422667	5.4241667	5.5614667	3.5713333	7.2973333	3.9888500	4.1927667	4.1444000	3.7965000	3.8605000	3.1501333	2.4388500	3.8225333	3.9233667	3.8836000	3.8652000	3.8823667	2.9817000	3.0647400	3.0374400	3.2515600	3.3341800	3.0963600	3.4668000	3.0176667	2.9049333	2.9651667	3.2095333	3.7180667	3.8832667	3.7931000	3.5730333	3.5626333	3.4514000	3.5350000	3.5247667
G606	8.7374667	8.2507667	8.8581500	8.9155333	9.0950333	8.9662333	8.9257500	8.9688667	8.9630000	8.8025333	9.0634500	9.0818000	8.9729000	8.7197000	9.3455333	9.3626000	9.3877333	9.2821667	5.3474000	4.9982000	7.9401667	5.6940333	8.5162000	8.8153333	9.8415333	8.5068000	9.0874000	9.1221667	9.3296500	8.7186667	8.9654000	8.9318000	8.9550667	8.6343667	6.9345000	9.2284400	9.4291000	9.3132400	9.0050000	10.2286600	9.3533600	9.8971000	10.0244333	9.9036000	9.9766667	8.9483000	8.9437667	8.9269000	9.0005000	8.7240333	8.8864000	8.4789333	8.6710000
G607	2.3334333	2.6952000	2.7357500	3.0458333	2.7958333	2.7708000	2.8285000	2.8755000	3.1716000	2.9095333	2.6634000	2.5848000	2.6559000	2.5236000	4.0840333	3.7591000	1.9793000	1.9143667	2.9602333	3.6466000	2.6085333	4.1861000	2.8567500	3.0857333	2.9910667	2.7026000	2.9646000	2.1574000	2.0125000	2.9590000	2.8951667	2.8414000	2.7940667	2.8189000	2.1813000	2.2642000	2.4572200	2.3886400	2.5941400	2.5545800	2.6639800	2.2656000	2.1744000	2.1815333	2.1647333	3.1060667	2.9680000	2.9273000	2.9462000	3.0531333	3.0239333	2.7805333	2.9822000
G608	9.9534667	8.9764333	9.9268000	10.1616667	9.8496333	9.6662667	10.1880000	9.9212667	9.8220000	9.4857667	10.3075000	9.3840000	9.7845500	9.6455500	9.9505667	9.9372667	8.8787000	8.9957333	4.4677333	4.7943667	6.9695667	6.8063333	10.3660000	10.2433333	10.4006667	10.1830000	10.0570000	9.1738333	8.5635000	10.3746667	10.3126667	10.2843333	10.1273000	10.2090000	9.6247667	10.5906000	10.5270000	10.4096000	10.4736000	9.4277400	9.8293800	8.6290000	8.6148000	8.6016667	8.7694333	10.0369333	10.1008333	10.1570000	9.9489667	9.7856000	9.9495333	9.8537000	10.0448000
G609	6.5659333	6.4390000	8.1787000	8.0425333	8.3687000	8.3217000	8.3032000	8.3241333	8.6734000	8.2562333	6.5861500	7.0786667	6.4739500	6.2530500	8.5885333	8.4627000	7.2762333	7.2681000	5.5548333	6.9037333	6.9233333	6.4963000	7.1524500	7.0063000	7.0647667	7.2574000	6.7808000	6.9991333	7.4123500	7.2752333	7.2059667	7.2938333	7.0652333	6.9810667	8.5038333	7.9589400	7.8170000	7.6881600	8.3037000	7.6729000	7.5861000	7.1062667	7.1282000	7.1612000	7.1790333	8.0100000	7.9638333	8.0651333	8.1987667	8.3017000	8.2657000	8.2156667	8.3297333
G610	5.1426000	4.9696667	5.8046000	6.3951333	6.4720333	6.5907000	5.9808000	6.4452667	6.4167667	6.4252000	5.7604000	5.5436000	5.7628500	4.9357500	5.3952667	5.3225000	8.2493667	7.7134000	5.5104333	4.4251667	6.3862333	5.3622333	6.1625500	5.7120333	5.4716667	5.4090000	5.4205000	5.9644000	5.8993500	5.7240000	5.6220667	5.5365000	5.3780667	5.3476333	7.0633333	5.9597200	6.0164400	5.8744600	5.7676600	7.6785200	5.7786400	6.0534333	6.3725000	6.0019000	6.3375667	6.0770333	6.2490333	6.2508000	6.5781333	5.4603333	5.8371667	6.2315333	5.5963667
G611	9.2152667	5.9530667	7.6333500	10.2666667	7.4492667	7.5040667	7.7283000	8.6883333	12.2550000	8.3033000	10.0286000	10.3756667	10.2920000	9.3213000	9.9662667	8.6787667	6.0106667	6.1133000	7.0463333	5.6185667	8.0801000	8.3943333	8.6213000	9.0379667	8.5772333	9.1729000	7.8978000	12.6900000	12.1490000	8.9553000	9.2383667	9.3630667	8.9441667	9.1852000	7.7610000	7.8633200	7.4533800	7.5071800	9.0740000	6.8074600	8.1581400	6.6040000	6.8915000	6.6021667	6.7762667	10.0841667	10.4113333	10.2099333	9.6220333	8.2124000	8.7319000	8.3550333	7.8152333
G612	8.3092667	7.3224667	9.0836500	8.9126333	8.8866667	9.4226333	9.2841000	8.9022000	7.3506000	7.2191333	7.1055000	7.0738000	7.1228500	5.8342500	7.5612000	7.1290667	8.2573667	8.6547333	5.9223000	4.8997667	9.0290333	7.7403333	9.5103000	8.7697333	9.0759000	8.7238000	8.1422000	7.7789667	7.6056000	9.0551667	8.9463667	8.8866333	8.7310333	8.8964000	7.2895333	8.4593400	8.6835600	8.7716200	7.6171000	8.5684000	9.2395800	7.8433667	7.9250000	8.0364667	8.0521667	9.0363000	8.9349333	8.9390000	9.0350333	7.0731667	7.2537333	7.0599000	7.1558333
G613	9.3125000	9.1532667	9.5022000	9.6333667	11.4663333	11.2536667	9.3818000	10.8422667	10.2420000	12.2876667	9.7174000	9.9565667	9.9850000	9.8800000	10.9736667	12.4036667	9.7973667	9.6984667	5.2982333	3.6953667	9.7624667	7.6467000	9.7398500	10.5793333	12.0163333	10.3350000	10.4770000	10.0570000	9.8701500	10.6006333	10.8979333	11.1006667	10.9003333	10.5655000	9.5991000	9.9839000	9.9211800	9.5862200	10.1476000	10.6458000	10.6298000	8.9619000	8.9216667	8.9811667	8.9651000	9.6250333	9.5654667	9.6622000	10.2570667	10.2060000	10.1436667	10.4343333	10.1153333
G614	4.6114333	5.2066667	4.7746500	5.7608000	5.7079333	5.7707667	4.6689000	5.5894000	6.7510667	5.8009667	4.7379500	5.2715667	4.4297000	4.1637500	6.4806333	6.0385000	5.0357667	5.5420000	4.3334000	3.5665333	8.0537333	6.8860667	5.3975500	5.5349333	5.1941333	4.9637000	5.2244000	6.4098667	5.9118000	5.0461000	5.0784667	4.9826667	4.9059667	5.3317333	5.8741333	5.1205600	5.0090800	4.9351600	4.8561600	5.5705800	4.9570800	6.7479333	6.7015333	6.6036667	6.7443000	5.6953000	5.7210667	5.7670333	5.8803667	5.4115667	5.3962667	5.5338667	5.5472667
G615	8.0926667	8.3206000	9.6315500	8.4497000	7.7521000	10.0236333	8.0244500	8.7978000	10.1472667	7.7340667	8.0271500	7.2440000	7.3326000	8.5174500	9.6856333	6.5530000	8.6100667	7.5157667	7.9456000	9.4030000	8.0592333	9.0469333	11.1720000	7.5883000	8.0731333	7.2420000	6.7521000	7.4974000	9.5867500	9.0831333	7.6494333	7.0361667	8.1078667	7.1606000	7.9153667	8.7824800	8.7180000	9.3176600	8.4751600	8.1992000	8.4174800	9.2036000	9.6285667	9.4949333	8.0046333	7.0552000	7.7873333	7.8750667	7.8339667	7.7162667	7.9394000	7.9315000	8.3282333
G616	4.3252667	3.1901333	3.1962500	4.8868333	3.7302333	3.8990333	4.2062000	5.2889333	6.6648333	4.2796000	4.6771500	5.6889667	3.5420000	4.4721500	4.0779667	4.9149333	4.0238000	5.4944667	3.2440333	3.0116667	5.0947333	5.6744000	4.4300500	2.9952000	5.0601000	5.1912000	3.0446000	5.5524333	5.8501000	3.0357667	4.2571333	3.8064333	4.2195667	4.8137333	6.0788333	3.8599800	3.3445400	3.5003200	3.2532000	4.2473000	4.4185400	3.5149333	6.7513000	4.2326667	3.3131000	5.2445667	4.3935667	2.9800667	3.8259000	3.5638667	4.5789000	4.4357667	3.9426000
G617	8.7219000	7.2501000	9.9742500	9.5003000	8.0580000	8.3702667	10.1660000	8.5540667	9.2924333	8.0918333	10.1835000	9.6860333	10.2675000	9.2923000	9.7203333	9.2557667	9.5568000	9.4887333	5.2433333	5.3792667	8.0722333	6.0077667	10.2280000	8.9867667	9.0861000	8.9619000	7.5084000	9.2643333	9.8400500	9.3873333	9.4040667	9.1540667	9.2065000	9.2166333	11.0910000	9.6727200	9.6131600	10.0095000	9.4344200	9.3910200	10.1250800	6.7187667	6.9358667	6.8407667	6.6667667	9.4560000	9.6603000	9.7446667	9.1483000	9.6505000	9.7202333	9.6057000	9.6931000
G618	8.0492333	8.0185333	9.1075000	9.0366667	8.9059667	8.8813333	9.1527500	8.8901667	8.2874667	8.0697333	9.2138500	8.7556000	9.2475000	9.0652500	8.4395333	8.4128000	8.2744667	8.5687333	6.7852333	5.9458000	8.5172333	8.6054000	9.2545500	9.1967667	8.5151667	9.3712000	8.7085000	8.7261667	8.7203500	9.3943333	9.0145667	9.1700667	8.7896000	9.0813667	8.8599333	9.0619800	9.0698200	9.1004600	8.6891000	8.4718200	8.8471800	5.5165333	5.9215333	5.8527333	5.8955000	9.2660333	9.0906000	9.0758333	8.9783000	7.4825667	7.6680000	7.3935000	7.6124000
G619	7.8257000	8.7555000	8.5149500	8.0649333	7.8142333	8.2543333	6.9714500	8.2236333	7.4831333	7.6025667	7.3256500	8.1664333	8.2926500	7.0471000	7.3922667	8.1615333	8.1502667	8.1637000	8.1260000	7.7180000	8.5064333	7.8413333	8.4944500	7.7975333	7.5825667	8.5291000	8.1976000	8.6080667	6.5459500	7.8124000	8.1179667	7.9618000	7.7087333	8.5977667	8.7102333	8.3973200	8.0600600	8.0636000	8.1532200	7.8049200	7.9499400	8.1496000	7.7970667	8.4498333	7.5431000	7.6790333	7.4733667	7.7306333	8.3925000	7.9717000	7.7137000	8.2467667	7.1675333
G620	7.7835667	7.8834333	8.7344000	8.7160667	9.3339667	9.1730333	8.8056000	9.2610667	9.3948000	9.5806000	8.7431500	8.8877000	8.8657000	8.4671000	8.9472667	9.4657667	9.3560667	9.4023333	5.9164667	6.0250000	8.3657667	7.0110333	8.7660000	9.3234000	9.5944333	8.8496000	10.1260000	8.6988333	8.8804000	8.7631333	8.9027667	8.9180333	8.9351333	9.0676000	8.8860333	8.9251000	8.7665400	8.6091400	8.6504600	9.3412800	8.9832000	7.8687667	8.1358333	7.8683333	8.2733000	8.7184333	8.8153000	8.7500333	9.0445000	8.8565000	8.5376667	9.0297333	8.7315000
G621	7.7551333	6.7958333	7.1042500	7.6722333	7.6352667	7.6410000	7.2710500	7.5472667	7.1833667	6.4203667	7.4027500	7.2285000	7.2553500	6.5080000	6.7094333	6.6893333	8.9355667	8.6383333	4.7257333	5.1341667	8.4501667	8.2060333	8.1128500	8.6322000	8.4614333	8.5998000	12.0330000	7.5627333	7.4258500	8.3933000	8.4717667	8.4936000	8.8190667	8.4996333	7.3952000	7.5176200	7.4001400	7.5404600	7.3024000	9.6166200	9.2931200	9.7067333	9.8133000	9.7477000	9.7583000	7.6788667	7.6286333	7.6801333	7.5878333	6.7395333	6.8573667	6.8276333	6.7116667
G622	8.2316333	8.8630000	9.2750500	8.8580333	9.5480333	9.4258667	9.4989500	9.3155000	9.2197667	9.4899000	9.6402000	9.2793333	9.4874000	9.3808000	9.5162000	10.1180000	9.9503000	9.8734000	6.6962000	6.2550333	7.8921667	6.9099667	9.2199000	9.1547000	9.8295000	9.2811000	9.8622000	9.3237333	8.9509500	9.1518333	9.2247000	9.1739333	9.6441000	9.4393667	9.2335333	10.4748000	10.4126000	10.1964000	9.9630000	10.3821800	9.5661800	8.4630000	8.6336333	8.5587667	8.6431000	8.8314667	8.9697667	9.0231333	9.2489667	8.7078667	8.6142667	8.9743000	8.7740333
G623	7.1287000	7.7100000	9.1619000	9.3260333	10.9223333	10.5101000	8.1646500	10.3670000	8.1471000	6.9075333	11.8005000	12.2163333	12.1170000	12.7000000	5.6885333	6.2385000	12.6903333	12.3063333	6.2887000	4.3679667	6.9433000	5.6593333	7.4779500	7.4221333	6.8933333	8.2592000	8.1377000	10.2840000	10.2256000	7.7851667	7.5349000	7.8005000	7.6526333	8.3971333	6.8022000	5.9650600	6.0202800	6.2430000	5.7891400	6.7431000	6.7157200	11.5986667	11.4116667	11.8286667	11.5253333	9.1120000	8.9181333	8.9807667	9.6538333	7.1593333	6.6546000	7.1052667	7.2992667
